headword,pos,CEFR,vocab_id,label
accuse,verb,B1,VOC_accuse_B1,accuse
accustom,verb,B1,VOC_accustom_B1,accustom
ache,noun,B1,VOC_ache_B1,ache
ache,verb,B2,VOC_ache_B2,ache
achievable,adjective,B2,VOC_achievable_B2,achievable
achieve,verb,A2,VOC_achieve_A2,achieve
achievement,noun,B1,VOC_achievement_B1,achievement
acid,noun,B2,VOC_acid_B2,acid
acknowledge,verb,B1,VOC_acknowledge_B1,acknowledge
acknowledgment,noun,B1,VOC_acknowledgmentacknow_B1,acknowledgment/acknowledgement
acquaintance,noun,B1,VOC_acquaintance_B1,acquaintance
acquire,verb,B1,VOC_acquire_B1,acquire
acquisition,noun,B2,VOC_acquisition_B2,acquisition
across,adverb,A2,VOC_across_A2,across
across,preposition,A2,VOC_across_A2,across
act,noun,A2,VOC_act_A2,act
act,verb,B1,VOC_act_B1,act
action,noun,A1,VOC_action_A1,action
active,adjective,B1,VOC_active_B1,active
actively,adverb,B2,VOC_actively_B2,actively
activity,noun,A1,VOC_activity_A1,activity
actor,noun,A1,VOC_actor_A1,actor
actress,noun,B1,VOC_actress_B1,actress
actual,adjective,B2,VOC_actual_B2,actual
actually,adverb,A2,VOC_actually_A2,actually
acute,adjective,B2,VOC_acute_B2,acute
ad,noun,B1,VOC_ad_B1,ad
adapt,verb,B1,VOC_adapt_B1,adapt
adaptable,adjective,B2,VOC_adaptable_B2,adaptable
add,verb,A1,VOC_add_A1,add
addict,noun,B2,VOC_addict_B2,addict
addicted,adjective,B2,VOC_addicted_B2,addicted
addiction,noun,B2,VOC_addiction_B2,addiction
addition,noun,A2,VOC_addition_A2,addition
additional,adjective,A2,VOC_additional_A2,additional
additionally,adverb,B2,VOC_additionally_B2,additionally
address,noun,A1,VOC_address_A1,address
address,verb,B1,VOC_address_B1,address
addressee,noun,B1,VOC_addressee_B1,addressee
adequate,adjective,B2,VOC_adequate_B2,adequate
adequately,adverb,B2,VOC_adequately_B2,adequately
adjective,noun,A2,VOC_adjective_A2,adjective
adjust,verb,A2,VOC_adjust_A2,adjust
adjustment,noun,B2,VOC_adjustment_B2,adjustment
administration,noun,B1,VOC_administration_B1,administration
administrative,adjective,B2,VOC_administrative_B2,administrative
admirable,adjective,B2,VOC_admirable_B2,admirable
admiration,noun,B1,VOC_admiration_B1,admiration
admire,verb,A2,VOC_admire_A2,admire
admiringly,adverb,B2,VOC_admiringly_B2,admiringly
admission,noun,B1,VOC_admission_B1,admission
admit,verb,A2,VOC_admit_A2,admit
admittedly,adverb,B2,VOC_admittedly_B2,admittedly
adopt,verb,B1,VOC_adopt_B1,adopt
adopted,adjective,B2,VOC_adopted_B2,adopted
adoption,noun,B2,VOC_adoption_B2,adoption
adorable,adjective,B1,VOC_adorable_B1,adorable
adore,verb,B2,VOC_adore_B2,adore
adorn,verb,B2,VOC_adorn_B2,adorn
adult,adjective,A2,VOC_adult_A2,adult
adult,noun,A2,VOC_adult_A2,adult
advance,noun,B2,VOC_advance_B2,advance
advance,verb,B1,VOC_advance_B1,advance
advanced,adjective,A2,VOC_advanced_A2,advanced
advancement,noun,B2,VOC_advancement_B2,advancement
advantage,noun,A2,VOC_advantage_A2,advantage
advent,noun,B2,VOC_advent_B2,advent
adventure,noun,A2,VOC_adventure_A2,adventure
adventurous,adjective,B2,VOC_adventurous_B2,adventurous
adverb,noun,B1,VOC_adverb_B1,adverb
adverbial,adjective,B1,VOC_adverbial_B1,adverbial
adverse,adjective,B2,VOC_adverse_B2,adverse
adversely,adverb,B2,VOC_adversely_B2,adversely
adversity,noun,B2,VOC_adversity_B2,adversity
advert,noun,B1,VOC_advert_B1,advert
advertise,verb,B1,VOC_advertise_B1,advertise
advertisement,noun,A2,VOC_advertisement_A2,advertisement
advertising,noun,A2,VOC_advertising_A2,advertising
advice,noun,A2,VOC_advice_A2,advice
advise,verb,A2,VOC_advise_A2,advise
adviser,noun,B1,VOC_adviseradvisor_B1,adviser/advisor
aerobics,noun,B1,VOC_aerobics_B1,aerobics
affair,noun,A2,VOC_affair_A2,affair
affect,verb,B1,VOC_affect_B1,affect
affection,noun,B1,VOC_affection_B1,affection
affectionate,adjective,B2,VOC_affectionate_B2,affectionate
affectionately,adverb,B2,VOC_affectionately_B2,affectionately
afford,verb,B1,VOC_afford_B1,afford
affordable,adjective,B2,VOC_affordable_B2,affordable
afraid,adjective,A1,VOC_afraid_A1,afraid
after,adverb,A2,VOC_after_A2,after
after,conjunction,B1,VOC_after_B1,after
after,preposition,A1,VOC_after_A1,after
afternoon,noun,A1,VOC_afternoon_A1,afternoon
afterward,adverb,B1,VOC_afterward_B1,afterward
afterwards,adverb,B1,VOC_afterwards_B1,afterwards
again,adverb,A1,VOC_again_A1,again
against,preposition,A2,VOC_against_A2,against
age,noun,A1,VOC_age_A1,age
aged,adjective,A2,VOC_aged_A2,aged
ageless,adjective,B2,VOC_ageless_B2,ageless
agency,noun,A2,VOC_agency_A2,agency
agenda,noun,B1,VOC_agenda_B1,agenda
agent,noun,A2,VOC_agent_A2,agent
aggressive,adjective,B1,VOC_aggressive_B1,aggressive
aggressively,adverb,B2,VOC_aggressively_B2,aggressively
ago,adverb,A1,VOC_ago_A1,ago
agonize,verb,B2,VOC_agonizeagonise_B2,agonize/agonise
agony,noun,B2,VOC_agony_B2,agony
agree,verb,A1,VOC_agree_A1,agree
agreement,noun,B1,VOC_agreement_B1,agreement
agricultural,adjective,B1,VOC_agricultural_B1,agricultural
agriculture,noun,B1,VOC_agriculture_B1,agriculture
ahead,adverb,A2,VOC_ahead_A2,ahead
aid,noun,B1,VOC_aid_B1,aid
aid,verb,B1,VOC_aid_B1,aid
aim,noun,B1,VOC_aim_B1,aim
aim,verb,B2,VOC_aim_B2,aim
air,noun,A2,VOC_air_A2,air
air conditioning,noun,B1,VOC_airconditioning_B1,air conditioning
air force,noun,B1,VOC_airforce_B1,air force
aircraft,noun,B2,VOC_aircraft_B2,aircraft
aircrew,noun,B2,VOC_aircrew_B2,aircrew
airline,noun,B1,VOC_airline_B1,airline
airplane,noun,A1,VOC_airplaneaeroplane_A1,airplane/aeroplane
airport,noun,A1,VOC_airport_A1,airport
aisle,noun,A2,VOC_aisle_A2,aisle
alarm,noun,A2,VOC_alarm_A2,alarm
alarm,verb,B1,VOC_alarm_B1,alarm
alarm clock,noun,A2,VOC_alarmclock_A2,alarm clock
album,noun,A1,VOC_album_A1,album
alcohol,noun,B1,VOC_alcohol_B1,alcohol
alcoholic,adjective,B1,VOC_alcoholic_B1,alcoholic
alcoholic,noun,B2,VOC_alcoholic_B2,alcoholic
alcoholism,noun,B2,VOC_alcoholism_B2,alcoholism
alert,verb,B2,VOC_alert_B2,alert
alike,adjective,B1,VOC_alike_B1,alike
alike,adverb,B1,VOC_alike_B1,alike
alive,adjective,A2,VOC_alive_A2,alive
all,adverb,A2,VOC_all_A2,all
all,determiner,A1,VOC_all_A1,all
all,pronoun,A1,VOC_all_A1,all
all right,adjective,A1,VOC_allright_A1,all right
all right,adverb,A1,VOC_allright_A1,all right
allegation,noun,B2,VOC_allegation_B2,allegation
allergic,adjective,B1,VOC_allergic_B1,allergic
alliance,noun,B2,VOC_alliance_B2,alliance
allow,verb,A2,VOC_allow_A2,allow
allowance,noun,B1,VOC_allowance_B1,allowance
ally,noun,B2,VOC_ally_B2,ally
almost,adverb,A1,VOC_almost_A1,almost
alone,adjective,A2,VOC_alone_A2,alone
alone,adverb,A1,VOC_alone_A1,alone
along,adverb,A1,VOC_along_A1,along
along,preposition,A2,VOC_along_A2,along
alongside,preposition,B2,VOC_alongside_B2,alongside
aloud,adverb,B1,VOC_aloud_B1,aloud
alphabet,noun,B1,VOC_alphabet_B1,alphabet
alphabetical,adjective,B2,VOC_alphabetical_B2,alphabetical
already,adverb,A1,VOC_already_A1,already
alright,adjective,A2,VOC_alright_A2,alright
alright,adverb,A2,VOC_alright_A2,alright
also,adverb,A1,VOC_also_A1,also
altar,noun,B2,VOC_altar_B2,altar
alter,verb,B2,VOC_alter_B2,alter
alternate,verb,B2,VOC_alternate_B2,alternate
alternative,adjective,B1,VOC_alternative_B1,alternative
alternative,noun,B1,VOC_alternative_B1,alternative
alternatively,adverb,B2,VOC_alternatively_B2,alternatively
although,conjunction,A2,VOC_although_A2,although
altitude,noun,B2,VOC_altitude_B2,altitude
altogether,adverb,B1,VOC_altogether_B1,altogether
aluminum,noun,B2,VOC_aluminumaluminium_B2,aluminum/aluminium
always,adverb,A1,VOC_always_A1,always
am,be-verb,A1,VOC_am_A1,am
amaze,verb,B2,VOC_amaze_B2,amaze
amazed,adjective,B1,VOC_amazed_B1,amazed
amazement,noun,B2,VOC_amazement_B2,amazement
amazing,adjective,B1,VOC_amazing_B1,amazing
amazingly,adverb,B2,VOC_amazingly_B2,amazingly
ambassador,noun,B2,VOC_ambassador_B2,ambassador
ambiguity,noun,B2,VOC_ambiguity_B2,ambiguity
ambiguous,adjective,B2,VOC_ambiguous_B2,ambiguous
ambition,noun,A2,VOC_ambition_A2,ambition
ambitious,adjective,B1,VOC_ambitious_B1,ambitious
ambulance,noun,B1,VOC_ambulance_B1,ambulance
ammonia,noun,B2,VOC_ammonia_B2,ammonia
among,preposition,A2,VOC_among_A2,among
amongst,preposition,B2,VOC_amongst_B2,amongst
amount,noun,B1,VOC_amount_B1,amount
ample,adjective,B2,VOC_ample_B2,ample
amplifier,noun,B2,VOC_amplifier_B2,amplifier
amplify,verb,B2,VOC_amplify_B2,amplify
amuse,verb,B2,VOC_amuse_B2,amuse
amused,adjective,A2,VOC_amused_A2,amused
amusement,noun,A2,VOC_amusement_A2,amusement
amusing,adjective,B1,VOC_amusing_B1,amusing
an,determiner,A1,VOC_an_A1,an
analogy,noun,B2,VOC_analogy_B2,analogy
analysis,noun,B1,VOC_analysis_B1,analysis
analyst,noun,B2,VOC_analyst_B2,analyst
analyze,verb,B1,VOC_analyzeanalyse_B1,analyze/analyse
ancestor,noun,A2,VOC_ancestor_A2,ancestor
anchor,noun,B2,VOC_anchor_B2,anchor
anchorage,noun,B2,VOC_anchorage_B2,anchorage
anchorman,noun,B2,VOC_anchorman_B2,anchorman
anchorperson,noun,B2,VOC_anchorperson_B2,anchorperson
ancient,adjective,A2,VOC_ancient_A2,ancient
and,conjunction,A1,VOC_and_A1,and
angel,noun,A2,VOC_angel_A2,angel
anger,noun,B1,VOC_anger_B1,anger
angle,noun,B1,VOC_angle_B1,angle
angrily,adverb,A2,VOC_angrily_A2,angrily
angry,adjective,A1,VOC_angry_A1,angry
anguish,noun,B2,VOC_anguish_B2,anguish
animal,noun,A1,VOC_animal_A1,animal
animate,verb,B2,VOC_animate_B2,animate
animated,adjective,B1,VOC_animated_B1,animated
animation,noun,B1,VOC_animation_B1,animation
ankle,noun,A2,VOC_ankle_A2,ankle
anniversary,noun,A2,VOC_anniversary_A2,anniversary
announce,verb,B1,VOC_announce_B1,announce
announcement,noun,B1,VOC_announcement_B1,announcement
annoy,verb,A2,VOC_annoy_A2,annoy
annoyance,noun,B1,VOC_annoyance_B1,annoyance
annoyed,adjective,B1,VOC_annoyed_B1,annoyed
annoying,adjective,A2,VOC_annoying_A2,annoying
annual,adjective,B1,VOC_annual_B1,annual
annually,adverb,B1,VOC_annually_B1,annually
anonymous,adjective,B2,VOC_anonymous_B2,anonymous
another,determiner,A1,VOC_another_A1,another
another,pronoun,A2,VOC_another_A2,another
answer,noun,A1,VOC_answer_A1,answer
answer,verb,A1,VOC_answer_A1,answer
ant,noun,B1,VOC_ant_B1,ant
anti,adjective,B1,VOC_anti_B1,anti
antiaircraft,adjective,B2,VOC_antiaircraft_B2,antiaircraft
antibacterial,adjective,B2,VOC_antibacterial_B2,antibacterial
anticancer,noun,B2,VOC_anticancer_B2,anticancer
anticipate,verb,B2,VOC_anticipate_B2,anticipate
anticipation,noun,B2,VOC_anticipation_B2,anticipation
antipollution,noun,B2,VOC_antipollution_B2,antipollution
antique,adjective,B2,VOC_antique_B2,antique
antique,noun,B1,VOC_antique_B1,antique
antistatic,adjective,B2,VOC_antistatic_B2,antistatic
antivirus,noun,B2,VOC_antivirus_B2,antivirus
antonym,noun,B1,VOC_antonym_B1,antonym
anxiety,noun,B1,VOC_anxiety_B1,anxiety
anxious,adjective,A2,VOC_anxious_A2,anxious
anxiously,adverb,B1,VOC_anxiously_B1,anxiously
any,determiner,A1,VOC_any_A1,any
any,pronoun,A1,VOC_any_A1,any
anybody,pronoun,A1,VOC_anybody_A1,anybody
anyhow,adverb,B1,VOC_anyhow_B1,anyhow
anymore,adverb,A2,VOC_anymore_A2,anymore
anyone,pronoun,A1,VOC_anyone_A1,anyone
anything,pronoun,A1,VOC_anything_A1,anything
anyway,adverb,A2,VOC_anyway_A2,anyway
anywhere,adverb,A2,VOC_anywhere_A2,anywhere
apart,adverb,A2,VOC_apart_A2,apart
apartment,noun,A2,VOC_apartment_A2,apartment
ape,noun,B1,VOC_ape_B1,ape
apologize,verb,A2,VOC_apologizeapologise_A2,apologize/apologise
apology,noun,B1,VOC_apology_B1,apology
apostrophe,noun,B2,VOC_apostrophe_B2,apostrophe
apparent,adjective,B1,VOC_apparent_B1,apparent
apparently,adverb,A2,VOC_apparently_A2,apparently
appeal,noun,B1,VOC_appeal_B1,appeal
appeal,verb,B2,VOC_appeal_B2,appeal
appear,verb,A2,VOC_appear_A2,appear
appearance,noun,A2,VOC_appearance_A2,appearance
appetite,noun,B1,VOC_appetite_B1,appetite
applaud,verb,B1,VOC_applaud_B1,applaud
applause,noun,B1,VOC_applause_B1,applause
apple,noun,A1,VOC_apple_A1,apple
applicant,noun,B2,VOC_applicant_B2,applicant
application,noun,B1,VOC_application_B1,application
apply,verb,A2,VOC_apply_A2,apply
appoint,verb,B1,VOC_appoint_B1,appoint
appointment,noun,A2,VOC_appointment_A2,appointment
appreciate,verb,A2,VOC_appreciate_A2,appreciate
appreciation,noun,B1,VOC_appreciation_B1,appreciation
appreciative,adjective,B2,VOC_appreciative_B2,appreciative
approach,noun,B1,VOC_approach_B1,approach
approach,verb,B2,VOC_approach_B2,approach
appropriate,adjective,A2,VOC_appropriate_A2,appropriate
appropriately,adverb,B2,VOC_appropriately_B2,appropriately
approval,noun,B1,VOC_approval_B1,approval
approve,verb,B1,VOC_approve_B1,approve
approximate,adjective,B2,VOC_approximate_B2,approximate
approximately,adverb,B1,VOC_approximately_B1,approximately
april,noun,A1,VOC_April_A1,April
apron,noun,A1,VOC_apron_A1,apron
arch,noun,B2,VOC_arch_B2,arch
archaeologist,noun,B2,VOC_archaeologistarcheol_B2,archaeologist/archeologist
architect,noun,B1,VOC_architect_B1,architect
architecture,noun,A2,VOC_architecture_A2,architecture
arctic,adjective,B2,VOC_arctic_B2,arctic
are,be-verb,A1,VOC_are_A1,are
area,noun,A2,VOC_area_A2,area
arena,noun,B2,VOC_arena_B2,arena
argue,verb,A2,VOC_argue_A2,argue
argument,noun,A2,VOC_argument_A2,argument
arise,verb,B1,VOC_arise_B1,arise
aristocracy,noun,B2,VOC_aristocracy_B2,aristocracy
arithmetic,noun,B1,VOC_arithmetic_B1,arithmetic
arm,noun,A1,VOC_arm_A1,arm
arm,verb,B1,VOC_arm_B1,arm
armchair,noun,A2,VOC_armchair_A2,armchair
armed,adjective,A2,VOC_armed_A2,armed
armful,noun,B2,VOC_armful_B2,armful
army,noun,B1,VOC_army_B1,army
around,adverb,A2,VOC_around_A2,around
around,preposition,A1,VOC_around_A1,around
arouse,verb,B2,VOC_arouse_B2,arouse
arrange,verb,B1,VOC_arrange_B1,arrange
arrangement,noun,B1,VOC_arrangement_B1,arrangement
arrest,noun,B1,VOC_arrest_B1,arrest
arrest,verb,B1,VOC_arrest_B1,arrest
arrival,noun,B1,VOC_arrival_B1,arrival
arrive,verb,A1,VOC_arrive_A1,arrive
arrogant,adjective,B2,VOC_arrogant_B2,arrogant
arrow,noun,B1,VOC_arrow_B1,arrow
art,noun,A1,VOC_art_A1,art
artery,noun,B2,VOC_artery_B2,artery
article,noun,A1,VOC_article_A1,article
articulate,verb,B2,VOC_articulate_B2,articulate
artificial,adjective,A2,VOC_artificial_A2,artificial
artificially,adverb,B2,VOC_artificially_B2,artificially
artist,noun,B1,VOC_artist_B1,artist
artistic,adjective,B1,VOC_artistic_B1,artistic
artistry,noun,B2,VOC_artistry_B2,artistry
as,conjunction,A2,VOC_as_A2,as
as,preposition,A1,VOC_as_A1,as
ash,noun,B2,VOC_ash_B2,ash
ashamed,adjective,B1,VOC_ashamed_B1,ashamed
aside,adverb,B1,VOC_aside_B1,aside
ask,verb,A1,VOC_ask_A1,ask
asleep,adjective,A2,VOC_asleep_A2,asleep
aspect,noun,B1,VOC_aspect_B1,aspect
aspiration,noun,B2,VOC_aspiration_B2,aspiration
aspire,verb,B2,VOC_aspire_B2,aspire
aspirin,noun,B1,VOC_aspirin_B1,aspirin
assault,noun,B2,VOC_assault_B2,assault
assemble,verb,B2,VOC_assemble_B2,assemble
assembly,noun,B2,VOC_assembly_B2,assembly
assert,verb,B2,VOC_assert_B2,assert
assess,verb,B2,VOC_assess_B2,assess
assessment,noun,B2,VOC_assessment_B2,assessment
assign,verb,B1,VOC_assign_B1,assign
assignment,noun,B1,VOC_assignment_B1,assignment
assist,verb,B1,VOC_assist_B1,assist
assistance,noun,B1,VOC_assistance_B1,assistance
assistant,adjective,A2,VOC_assistant_A2,assistant
assistant,noun,B1,VOC_assistant_B1,assistant
associate,verb,B1,VOC_associate_B1,associate
association,noun,A2,VOC_association_A2,association
assume,verb,B1,VOC_assume_B1,assume
assumption,noun,B2,VOC_assumption_B2,assumption
assurance,noun,B2,VOC_assurance_B2,assurance
assure,verb,B2,VOC_assure_B2,assure
astonish,verb,B2,VOC_astonish_B2,astonish
astonished,adjective,B2,VOC_astonished_B2,astonished
astonishing,adjective,B2,VOC_astonishing_B2,astonishing
astonishment,noun,B2,VOC_astonishment_B2,astonishment
astronaut,noun,A2,VOC_astronaut_A2,astronaut
astronomer,noun,B1,VOC_astronomer_B1,astronomer
astronomy,noun,B2,VOC_astronomy_B2,astronomy
at,preposition,A1,VOC_at_A1,at
athlete,noun,A2,VOC_athlete_A2,athlete
athletic,adjective,B1,VOC_athletic_B1,athletic
athletics,noun,B2,VOC_athletics_B2,athletics
atlantic,adjective,B1,VOC_Atlantic_B1,Atlantic
atmosphere,noun,B1,VOC_atmosphere_B1,atmosphere
atom,noun,A2,VOC_atom_A2,atom
atomic,adjective,B1,VOC_atomic_B1,atomic
attach,verb,B1,VOC_attach_B1,attach
attached,adjective,B2,VOC_attached_B2,attached
attachment,noun,B1,VOC_attachment_B1,attachment
attack,noun,A2,VOC_attack_A2,attack
attack,verb,A2,VOC_attack_A2,attack
attain,verb,B1,VOC_attain_B1,attain
attainable,adjective,B2,VOC_attainable_B2,attainable
attainment,noun,B2,VOC_attainment_B2,attainment
attempt,noun,A2,VOC_attempt_A2,attempt
attempt,verb,B1,VOC_attempt_B1,attempt
attend,verb,B1,VOC_attend_B1,attend
attendance,noun,B2,VOC_attendance_B2,attendance
attention,noun,A2,VOC_attention_A2,attention
attentive,adjective,B2,VOC_attentive_B2,attentive
attentively,adverb,B2,VOC_attentively_B2,attentively
attitude,noun,A2,VOC_attitude_A2,attitude
attract,verb,B1,VOC_attract_B1,attract
attraction,noun,B1,VOC_attraction_B1,attraction
attractive,adjective,A2,VOC_attractive_A2,attractive
attractiveness,noun,B2,VOC_attractiveness_B2,attractiveness
attribute,noun,B2,VOC_attribute_B2,attribute
attribute,verb,B2,VOC_attribute_B2,attribute
atypical,adjective,B2,VOC_atypical_B2,atypical
aubergine,noun,B2,VOC_aubergine_B2,aubergine
audience,noun,A2,VOC_audience_A2,audience
audio,adjective,A2,VOC_audio_A2,audio
audit,noun,B2,VOC_audit_B2,audit
audition,noun,B2,VOC_audition_B2,audition
august,noun,A1,VOC_August_A1,August
aunt,noun,A1,VOC_aunt_A1,aunt
author,noun,A2,VOC_author_A2,author
authoritative,adjective,B2,VOC_authoritative_B2,authoritative
authority,noun,B1,VOC_authority_B1,authority
authorize,verb,B2,VOC_authorizeauthorise_B2,authorize/authorise
automatic,adjective,A2,VOC_automatic_A2,automatic
automatically,adverb,A2,VOC_automatically_A2,automatically
autumn,noun,A1,VOC_autumn_A1,autumn
auxiliary,adjective,B1,VOC_auxiliary_B1,auxiliary
availability,noun,B2,VOC_availability_B2,availability
available,adjective,B1,VOC_available_B1,available
avenue,noun,B1,VOC_avenue_B1,avenue
average,adjective,A2,VOC_average_A2,average
average,noun,A2,VOC_average_A2,average
avoid,verb,A2,VOC_avoid_A2,avoid
await,verb,B2,VOC_await_B2,await
awake,adjective,A1,VOC_awake_A1,awake
award,noun,A2,VOC_award_A2,award
award,verb,B1,VOC_award_B1,award
aware,adjective,B1,VOC_aware_B1,aware
awareness,noun,B1,VOC_awareness_B1,awareness
away,adverb,A1,VOC_away_A1,away
awe,noun,B2,VOC_awe_B2,awe
awesome,adjective,B1,VOC_awesome_B1,awesome
awful,adjective,A2,VOC_awful_A2,awful
awkward,adjective,B1,VOC_awkward_B1,awkward
ax,noun,B2,VOC_axaxe_B2,ax/axe
axis,noun,B2,VOC_axis_B2,axis
baby,noun,A1,VOC_baby_A1,baby
babysit,verb,B1,VOC_babysit_B1,babysit
babysitter,noun,B1,VOC_babysitter_B1,babysitter
back,adjective,A2,VOC_back_A2,back
back,adverb,A1,VOC_back_A1,back
back,noun,A1,VOC_back_A1,back
back,verb,B1,VOC_back_B1,back
backache,noun,B1,VOC_backache_B1,backache
background,noun,A2,VOC_background_A2,background
backpack,noun,B1,VOC_backpack_B1,backpack
backpacker,noun,B1,VOC_backpacker_B1,backpacker
backpacking,noun,B1,VOC_backpacking_B1,backpacking
backup,noun,B2,VOC_backup_B2,backup
backward,adverb,B2,VOC_backwardbackwards_B2,backward/backwards
backyard,noun,B2,VOC_backyard_B2,backyard
bacon,noun,B1,VOC_bacon_B1,bacon
bad,adjective,A1,VOC_bad_A1,bad
badge,noun,B2,VOC_badge_B2,badge
badly,adverb,A2,VOC_badly_A2,badly
badminton,noun,A2,VOC_badminton_A2,badminton
badtempered,adjective,B2,VOC_badtempered_B2,bad-tempered
bag,noun,A1,VOC_bag_A1,bag
baggage,noun,B1,VOC_baggage_B1,baggage
bake,verb,A2,VOC_bake_A2,bake
baker,noun,B1,VOC_baker_B1,baker
bakery,noun,B1,VOC_bakery_B1,bakery
balance,noun,B1,VOC_balance_B1,balance
balance,verb,B2,VOC_balance_B2,balance
balanced,adjective,B2,VOC_balanced_B2,balanced
balcony,noun,A2,VOC_balcony_A2,balcony
bald,adjective,B1,VOC_bald_B1,bald
balky,adjective,B2,VOC_balky_B2,balky
ball,noun,A1,VOC_ball_A1,ball
ballad,noun,B2,VOC_ballad_B2,ballad
ballet,noun,B2,VOC_ballet_B2,ballet
balloon,noun,A2,VOC_balloon_A2,balloon
ballot,noun,B2,VOC_ballot_B2,ballot
ban,noun,B2,VOC_ban_B2,ban
ban,verb,B2,VOC_ban_B2,ban
banana,noun,A1,VOC_banana_A1,banana
band,noun,A1,VOC_band_A1,band
bandage,noun,B1,VOC_bandage_B1,bandage
bang,noun,B1,VOC_bang_B1,bang
bang,verb,B1,VOC_bang_B1,bang
bank,noun,A1,VOC_bank_A1,bank
bank,verb,A2,VOC_bank_A2,bank
bank account,noun,B1,VOC_bankaccount_B1,bank account
banker,noun,B2,VOC_banker_B2,banker
banking,noun,A2,VOC_banking_A2,banking
bankrupt,verb,B2,VOC_bankrupt_B2,bankrupt
bankruptcy,noun,B2,VOC_bankruptcy_B2,bankruptcy
bar,noun,A1,VOC_bar_A1,bar
bar,verb,B1,VOC_bar_B1,bar
barbecue,noun,A2,VOC_barbecue_A2,barbecue
barbecue,verb,B1,VOC_barbecue_B1,barbecue
barber,noun,A2,VOC_barber_A2,barber
barbershop,noun,B2,VOC_barbershop_B2,barbershop
bare,adjective,B1,VOC_bare_B1,bare
bare,verb,B2,VOC_bare_B2,bare
barely,adverb,B1,VOC_barely_B1,barely
bargain,noun,A2,VOC_bargain_A2,bargain
bargain,verb,B2,VOC_bargain_B2,bargain
bark,noun,B1,VOC_bark_B1,bark
bark,verb,B2,VOC_bark_B2,bark
barley,noun,B2,VOC_barley_B2,barley
barman,noun,B1,VOC_barman_B1,barman
barn,noun,B2,VOC_barn_B2,barn
barometer,noun,B2,VOC_barometer_B2,barometer
barrel,noun,B1,VOC_barrel_B1,barrel
barren,adjective,B2,VOC_barren_B2,barren
barrier,noun,B2,VOC_barrier_B2,barrier
bartender,noun,B2,VOC_bartender_B2,bartender
base,noun,A2,VOC_base_A2,base
base,verb,B1,VOC_base_B1,base
baseball,noun,A1,VOC_baseball_A1,baseball
basement,noun,B1,VOC_basement_B1,basement
basic,adjective,A2,VOC_basic_A2,basic
basically,adverb,A2,VOC_basically_A2,basically
basin,noun,B1,VOC_basin_B1,basin
