levelNumber,level,unit,title,topic,cefr,writtenTask
8,Intermediate,1,Going to the doctor,Writing a natural remedies pamphlet,B1,"Read grandma’s email and choose three of the remedies you think will sell well. Write a pamphlet explaining the benefits of each product, and how to use it. You should explain who the product is best for."
8,Intermediate,2,Talking about music,Reviewing a song for a website,B1,"Read other fans’ views on an online music web forum. Write your review of 'Home Improvement' by Josh Woodward. 1. Introduction: artist & song 2. The song: instruments, vocals, lyrics 3. Impression 4. Conclusion"
8,Intermediate,3,Dreams and wishes,Making a 'to do' list of your dreams,B1,What are the things you’d like to do in your lifetime? Write a ‘bucket list’.
8,Intermediate,4,Business travel,Describing a business trip,B1,It's now Friday and the first half of your trip has passed. A friend or family member wants to know how your trip is going. Write an email describing your airport experiences and also what you plan to do but haven't done yet.
8,Intermediate,5,Buying and selling,Selling items in an online auction,B1,"You have so much success selling your items on 'objectofdesire.com', you decide to place one more item on the online auction site. Choose a functional item from your house to sell. Write an email to potential buyers describing the item in an interesting and informative way, as well as how it works and how to use it. Use persuasive language."
8,Intermediate,6,Relationships,Responding to written invitations,B1,"You have received this email. Respond to it, accepting or rejecting this declaration of love."
8,Intermediate,7,New beginnings,Congratulating a friend on an award,B1,Your friend has graduated at the top of their class and has won an award for their achievement. Write your friend an email congratulating them.
8,Intermediate,8,Customer service,Claiming back your security deposit,B1,"You're not happy with the response from the estate agent. Read the email then write to your lawyer. Describe the problems with the house, the threats you have made and ask for legal assistance. Dear Sir, I am writing to ask your advice about a problem I have with my landlord and real estate agent..."
9,Intermediate,1,What's cooking?,Giving feedback to a restaurant,B1,You've reached the end of the survey form and are being asked to give additional information. Write down in your own words what you thought about the food and drinks.
9,Intermediate,2,Stages of life,Studying online,B1,"You applied for an online study program and have received news of your application by email. Read the email and reply, answering the request for specific information."
9,Intermediate,3,Let's make a deal,Making a business proposal,B1,Your company makes pens. You receive an email expressing interest from a potential buyer. Read the email and write your proposal. Check your proposal includes all the information about the discounts your firm can offer and the terms of payment and delivery.
9,Intermediate,4,Health and safety,Signing a waiver to go skydiving,B1,"You receive a reply from 'Fun Skydive' explaining the procedure. Write back confirming the steps you're going to take next concerning the waiver, insurance and terms and conditions."
9,Intermediate,5,Accidents and emergencies,Writing safety guidelines,B1,"Write new, improved guidelines by improving the structure, information and grammar. Use the old guidelines to help you."
9,Intermediate,6,The next generation,Asking for leave,B1,Write the email to Angela Sun in the Human Resources department.
9,Intermediate,7,Good and bad behavior,Writing an apology email,B1,A few days later you receive the following email from John. You read it and realize that he cannot send this email to a client. Rewrite it in a style appropriate to business correspondence.
9,Intermediate,8,Before and after,Writing a blog,B1,Read Nikos’ blog to give you ideas then write your first blog entry.
10,Upper-Intermediate,1,Extreme activities,Helping a friend find a job,B2,"Send Anna the zookeeper's job ad. It deals with animals, it's outside and it looks exciting! Write an email to Anna encouraging her to apply for the job. Try to use words and phrases such as 'absolutely', 'totally', 'by far the...', 'amazing', 'exhilarating', 'urge' and 'encourage'. Begin your email like this: Hi, Anna! I’ve found an absolutely amazing job for you. Let me tell you why you should apply..."
10,Upper-Intermediate,2,Gender differences,Doing a survey about discrimination,B2,"Based on your research, write a list of questions that you would like to ask people in order to gather information for your project."
10,Upper-Intermediate,3,The cost of living,Requesting a bank loan,B2,Write a formal letter to the bank requesting the loan to open a mortgage explaining why you want to buy the house and how you intend to pay back the loan.
10,Upper-Intermediate,4,Health and fitness,Applying to be a fitness trainer,B2,"The manager, Mr. Harry Martin, from the sports centre has asked you to write him an email outlining why you think you are suitable for the job. Write a convincing email as to why you are the perfect candidate. Use the CV to help you."
10,Upper-Intermediate,5,Lifestyles,Finding a home for a wealthy client,B2,"Read the web page advertising Greek island properties. Make notes on the four properties, taking into account the Blight family's requirements. Remember, money is no object, but they would prefer not to have to do too many renovations."
10,Upper-Intermediate,6,Telling stories,Describing a terrifying experience,B2,"Your friend Meg has had a terrifying day. After reading her email you decide to write to a local newspaper, summarizing her story. Write the summary below."
10,Upper-Intermediate,7,Presenting information,Presenting trends,B2,Write a description of the trends in the graph.
10,Upper-Intermediate,8,Competition and cooperation,Giving feedback about a colleague,B2,"Write a performance review for a real colleague, boss or employee where you work (or study). Use the examples to help you. Make sure you describe both strengths and weaknesses."
11,Upper-Intermediate,1,Talking about films,Writing a movie review,B2,There is movie festival in your local town. Think of the last movie you watched and enjoyed. Write a review of the movie to promote the movie in the local newspaper.
11,Upper-Intermediate,2,Fears and phobias,"
Helping a coworker deal with a phobia",B2,You are Ian's friend and colleague. Read the leaflet and write an informal email to Ian encouraging him to keep his current job. Include a description of claustrophobia symptoms and some advice on how to cope with the phobia.
11,Upper-Intermediate,3,Technology,"
Writing an advertising blurb",B2,"You work for an advertising company. You have been asked to write a blurb for a tech magazine extolling the virtues of a new gadget that your company is promoting. Read the email from your boss, and use the information in the table to write the advertising blurb."
11,Upper-Intermediate,4,Beliefs and convictions,"
Writing up survey findings",B2,Read the notes on a survey. Write up the findings of the survey.
11,Upper-Intermediate,5, Career paths,"
Reviewing a self-help book",B2,"Task 1: You are a columnist for a leading American newspaper and have been asked to write a review on a new self-help book called ‘How to Make A Career Out of Courage,’ by Judith Wight. Read the excerpt and find a strength and a weakness."
11,Upper-Intermediate,6,Computers and the Internet,"
Setting rules for social networking",B2,Use your notes to write five presentation slides about the hazards (dangers) of social networking sites to educate your employees about user security. Remember to use bullet points.
11,Upper-Intermediate,7,Law and order,"
Dealing with a breach of contract",B2,"Using the notes from your lawyer, write a letter to your boss, Malcolm McDonald, insisting that TransWorld Enterprises pay you the overtime you are due."
11,Upper-Intermediate,8,Listening skills,Improving your study skills,B2,"Your teacher wants to know about your vocabulary strategies. Complete the 'needs analysis' form and describe all your current study skills and those which you would like more help with. For example: To help me with vocabulary, I … Advice I would give myself: … I wish I knew more about …"
12,Upper-Intermediate,1,Manners and etiquette,Turning down an invitation,B2,"Write the email to Graham, politely declining his invitation. Make sure that you use polite phrases, explain why you can’t come, and invite him and his wife next week instead (suggest some possible evenings)."
12,Upper-Intermediate,2,Books and stories,"
Entering a writing competition",B2,You decide to enter a story-writing competition. Read about the details on the website and write your entry.
12,Upper-Intermediate,3,Mysterious phenomena,Buying a painting for a friend,B2,You went to the shop and bought a painting. You think you have found the sand painting that Shelley wants. Email her to confirm that the sand painting that you have bought is correct by describing the picture. Use your notes to help you.
12,Upper-Intermediate,4,Corporate culture,"
Writing a report on staff satisfaction",B2,The assistant to the HR Director has read all the completed surveys and is having a meeting with the Director to give feedback. You are the HR Director and you have to submit a report summarizing the findings from the survey. Listen to their meeting. List the five sections that you must include in your report.
12,Upper-Intermediate,5,World English,Proofreading an article,B2,Re-write Harry’s review correcting his typos and errors.
12,Upper-Intermediate,6, Leadership qualities,"
Attending a leadership course",B2,"When you get back to the office, your colleagues want to know more about what you learned. Use your notes to write up a short report for them, using a variety of sentence structures (simple, compound, and complex sentences) to make your writing more interesting."
12,Upper-Intermediate,7,Soft skills,"
Conducting a performance appraisal",B2,"At your appraisal meeting with Peter, you agree to send him on a training course. Read the website information from a training organization, choose an appropriate course for him, and write an email to the company. Tell them the kind of course you’re looking for, the content, mode and the length."
12,Upper-Intermediate,8,Awkward situations,Writing an apology note,B2,"You decide to write Janice a note to apologize for Selma's behavior. Remember to include a polite opening, apologize for causing offense, acknowledge your responsibility, give a reason (not an excuse) for your lapse in judgment, and promise that it will never happen again."
13,Advanced,1,Politics,Writing a campaign speech,C1,"Write your campaign speech for student council president. Think about the profile you fit – are you a socialist or a capitalist, or a bit of both? Convince your classmates that you are the best candidate."
13,Advanced,2,Home design,Renting out a room,C1,"You want to rent out your apartment. Use the sample advertisement and the details of your apartment to write an ad. Your apartment: Location: Pacific Heights Rent: $1,850 per month Size: three bedrooms, two bathrooms Features: remodeled modern kitchen, rustic porch, good views, original wood staircase and trim throughout house"
13,Advanced,3,Market research,"
Comparing two demographic groups",C1,"You now need to compare the two demographic groups. Read the information then write a proposal about both groups and the pros and cons of expanding into each of the two markets. Use the appropriate adjectives, adverbs and transition words to support your writing."
13,Advanced,4,Fair trade,"
Giving advice about budgeting",C1,You are a financial advisor. You receive a letter from a woman who has has to start economizing more in her life. Write back to her and outline your advice.
13,Advanced,5,Contributing to society,"
Writing about a disaster relief effort",C1,Your local disaster relief organization has asked you to write an advertisement to recruit volunteers. Describe the damage in your own words then describe the different kinds of volunteer jobs the area will need. Start with: Carson County Needs You!
13,Advanced,6,Art and design,"
Writing a brochure for a museum",C1,"You recorded the director's description of the 3 paintings. Listen to it again and write the brochure for the museum. Include as much information as you can about each, and also the exhibition dates."
13,Advanced,7,Mother nature,"
Making an educational product for kids",C1,"Write an email to your boss (John Smith). In it, suggest a new group of animals to add to the cards and specific ways children could use the cards. Use the notes to help you. Choose the information you think is appropriate."
13,Advanced,8,Reaching your potential,Reaching your potential,C1,"Your life coach asks you to write a summary of your needs and goals using Maslow’s hierarchy. Start with physiological needs and work up to self-actualization. Identify which of your needs are being met and which aren't, identify your goals, and mention any guidelines or deadlines you've made."
14,Advanced,1,Advertising,Writing advertising copy,C1,"Choose one of the 3 images and slogans. Write an email to the CEO, giving reasons why you’ve selected the particular image and slogan and how it fits with Century’s image of classic, stylish products."
14,Advanced,2,The environment,Choosing a renewable energy source,C1,Now prepare your presentation on which kind of renewable energy would be beneficial to your city. Use the notes to help you.
14,Advanced,3,Good and bad news,Writing a rejection letter,C1,"You work for a university admissions department. You are in charge of writing the letter that informs students that they weren’t accepted to the university this semester. Look at your rubric. Practice writing a sentence for each guideline. Now write the rejection letter, following the rubric."
14,Advanced,4,Health and well-being,Attending a seminar on stress reduction,C1,You have a friend who is experiencing a lot of stress from his job. He lives alone and has no immediate social support. Write a letter that expresses your understanding of his situation and gives some advice on managing stress.
14,Advanced,5,Taking a risk,Talking a friend out of a risky action,C1,Your friend has written you an email saying that he has found a quick way to get some things he wants. Write a reply to your friend warning him about the consequences of his behavior. Be as specific as possible. Use some of the expressions of warning you learned in the lesson.
14,Advanced,6,Education and training,Applying for sponsorship,C1,"You have learned that you are eligible for government sponsorship. To obtain the sponsorship, you have to write an essay comparing and contrasting the two exams, and say which one you feel will benefit you the most. Support your essay with information from the chart."
14,Advanced,7,Making a speech,"
Writing a wedding toast",C1,Your daughter is getting married and you have to write the toast for her wedding. You found information online about writing toasts and then added details about your daughter and son-in-law. Use the information to write the speech.
14,Advanced,8,Jokes and humor,"


Delivering a punch line",C1,"Task 1: You're stuck in an elevator! Help is on the way, but you and the other people who are stuck are trying to tell stories to ease the tension. Tell a funny story to the other people. Task 2: Your story was a success! In fact, one of the passengers has asked you to write it down and email it to him. Write your funny story. Useful phrases: You’ll never believe this, but… The most incredible thing happened… It was so alarming… Everything happened really fast. ...really lucked out."
15,Advanced,1,In the news,Covering a news story,C1,"Task 1: You're a journalist covering a big murder trial. Your connection at the police station has given you the interview tapes. Listen and make notes about what happened. Task 2: It's time to write your report. Write the story, adding some details of your own to 'spice it up'. Use the audio to help you."
15,Advanced,2,Communication,Hosting a group of foreign buyers,C1,"A group of international buyers are visiting your company next month. They have asked you for some advice about business etiquette in your country. Write an email to the head of the delegation and tell him about the local customs, gestures, body language and rules of etiquette where you're from."
15,Advanced,3,The power of the mind,Writing an article about NLP techniques,C1,"Imagine you are a family counselor writing a magazine article on NLP reframing. Listen to one of your clients talk about how she has successfully applied NLP reframing to a situation in her life. Then summarize her experience to use as an example in the magazine article. Write about Before NLP, After NLP, Techniques Applied."
15,Advanced,4,The entertainment industry,Making a movie,C1,"Your work inspires you to make your own movie. Remember to include the title, the setting, and the characters. You can also choose actors to play each of your main characters. You should make a list of important crew members you will need and what they will be required to do."
15,Advanced,5,E-commerce,"
Comparing two online retailers",C1,Task 1: You're going to write a comparison review of two online retail websites. Read the notes then rank the issues in the order you think most important. Task 2: Now write a comparative review of the two websites. Structure your review around the aspects of an online retail website you think most important. Pay attention to the comparative structures you use in your text.
15,Advanced,6,Urban issues,Writing an article about a superstore,C1,"Task 1: You work as a local reporter. The new big-box store Super-Mart is planning to open in your town. Many citizens are concerned about this and have gathered for a meeting. Read what their concerns are and make notes. Task 2: Now write a letter to the mayor to express your point of view about Super-Mart. Start your letter like this: Dear Mayor Bleak, I am writing to you to..."
15,Advanced,7,Quality of life,Writing about future lifestyles,C1,"As a result of your research and interest in the topic, you’ve been commissioned to write an article for a lifestyles magazine about how people’s lives will be different in 20 years from now. This article should be based on your opinions. You could consider work situations, home life, transport and the environment."
15,Advanced,8,Meaning and symbols,"
Interpreting a prophecy",C1,Look at the three pictures and write your interpretation of their content or meaning. Each picture represents a prophecy or prediction related to the future of mankind. Describe the events portrayed in each picture.
16,Upper Advanced,1,Science and technology,Attending a robotics conference,C2,Write a short report comparing the three robots for the web-based magazine.
16,Upper Advanced,2, National identity,"
Writing about a symbol of your country",C2,"You've decided to enter an essay writing competition. Read the details, choose and research a symbol from where you live or one that you're interested in, then write your essay."
16,Upper Advanced,3,Tough choices,Following a code of ethics,C2,"Task 1: You are a trainee journalist who decides to read about professional ethics before choosing which story to write. Here are some notes that you have made about potential stories. Task 2: Read them again in the light of what you have learnt about ethics and choose which story is the only one that you can write ethically, that is to say in accordance with the code of ethics from Activity 1. Task 3: Here are some further notes that you took at the press conference about the arrest. Read them and then write your article. Use an appropriate structure and journalistic style of language."
16,Upper Advanced,4,Fame and fortune,Criticizing a celebrity,C2,"You and your friend are at the Star Attack seminar. For your final assignment, you have to choose one of the three celebrities from the website and ‘throw a brick’ at them. Write to the website, explaining which celebrity you want to attack, and why."
16,Upper Advanced,5,Creative thinking,"
Using creative writing techniques",C2,A classmate has written an email asking you for your notes on some creative writing techniques. Unfortunately your own notes are very disorganized; reorder and correct them. Then send your friend an email with the information she needs.
16,Upper Advanced,6,Financial planning,Applying for a home loan,C2,"You want to buy a house and have decided to apply for a bank loan. Look at the documents (your driver’s license, credit card, bank statement and the property purchase contract) and note down information you think you will need to fill out an application for a bank loan. Write between 150-180 words. Type your answer into the input box."
16,Upper Advanced,7,Dealing with stress,Writing a visualization script,C2,"A visualization script is a description of an environment that you find peaceful and calming, and that helps you to relax. Your therapist wants you to use the triggers that help you relax to write a visualization script to help you drift off to sleep. Read the example and then write a visualization script of your own."
16,Upper Advanced,8,Doing research,Researching a legendary creature,C2,Task 1: You are studying to be a cryptozoologist. Cryptozoologists research creatures that are considered legendary or non-existent. Look at the list and decide which you would most like to research. You can choose more than one. Task 2: Choose one of the legendary creatures on your list and research it on the Internet. Take notes. Task 3: Take the information you gathered from your research and write a summary to hand in for your assignment.
